model,test,latency_seconds,classification,model_used,model_success,review_required,verification_status,verification_score,domain,intent,error,exception
qwen3.5:9b,explanation,44.432,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
qwen3.5:9b,spatial,24.676,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
qwen3.5:9b,temporal,33.39,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
qwen3.5:9b,scenario,33.921,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,SCENARIO,,
qwen3.5:9b,uncertainty,33.272,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,CELL_RISK,,
qwen3.5:9b,decision,29.176,LLM_REVIEW_OR_FAIL,True,True,False,FAILED,70.0,AWAREON,DECISION,,
qwen3.5:9b,certainty,32.033,LLM_REVIEW_OR_FAIL,True,True,False,FAILED,70.0,AWAREON,CELL_RISK,,
qwen3.5:9b,evidence_vs_inference,31.481,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
qwen3.5:9b,unsupported_specificity,30.512,LLM_REVIEW_OR_FAIL,True,True,False,FAILED,70.0,AWAREON,EXPLANATION,,
gpt-oss:20b,explanation,126.007,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
gpt-oss:20b,spatial,34.203,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
gpt-oss:20b,temporal,99.372,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,EXPLANATION,,
gpt-oss:20b,scenario,57.926,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,SCENARIO,,
gpt-oss:20b,uncertainty,107.069,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,CELL_RISK,,
gpt-oss:20b,decision,98.835,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,DECISION,,
gpt-oss:20b,certainty,99.714,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,CELL_RISK,,
gpt-oss:20b,evidence_vs_inference,96.208,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,EXPLANATION,,
gpt-oss:20b,unsupported_specificity,105.107,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,EXPLANATION,,
nemotron-3-nano:4b-q8_0,explanation,24.907,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
nemotron-3-nano:4b-q8_0,spatial,11.053,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
nemotron-3-nano:4b-q8_0,temporal,18.587,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
nemotron-3-nano:4b-q8_0,scenario,11.204,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,SCENARIO,,
nemotron-3-nano:4b-q8_0,uncertainty,11.661,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,CELL_RISK,,
nemotron-3-nano:4b-q8_0,decision,29.609,SAFE_FALLBACK,False,False,True,PASSED,100.0,AWAREON,DECISION,,
nemotron-3-nano:4b-q8_0,certainty,6.297,LLM_REVIEW_OR_FAIL,True,True,False,FAILED,70.0,AWAREON,CELL_RISK,,
nemotron-3-nano:4b-q8_0,evidence_vs_inference,7.484,LLM_REVIEW_OR_FAIL,True,True,False,FAILED,70.0,AWAREON,EXPLANATION,,
nemotron-3-nano:4b-q8_0,unsupported_specificity,11.227,LLM_VERIFIED,True,True,False,PASSED,100.0,AWAREON,EXPLANATION,,
